case,M,N,K,TILE_M,TILE_N,TILE_K,cycles,mac_ops,macs_per_cycle,peak_macs_per_cycle,utilization_pct
zeros_4x4x4,4,4,4,2,2,2,109,64,0.587,4,14.68
identity_4x4x4,4,4,4,2,2,2,109,64,0.587,4,14.68
hand_small_4x4x4,4,4,4,2,2,2,109,64,0.587,4,14.68
random_positive_4x4x4,4,4,4,2,2,2,109,64,0.587,4,14.68
random_signed_4x4x4,4,4,4,2,2,2,109,64,0.587,4,14.68
int8_extremes_4x4x4,4,4,4,2,2,2,109,64,0.587,4,14.68
edge_tiles_5x5x5,5,5,5,2,2,2,325,125,0.385,4,9.62
zeros_4x4x4,4,4,4,4,4,4,61,64,1.049,16,6.56
identity_4x4x4,4,4,4,4,4,4,61,64,1.049,16,6.56
hand_small_4x4x4,4,4,4,4,4,4,61,64,1.049,16,6.56
random_positive_8x8x8,8,8,8,4,4,4,349,512,1.467,16,9.17
random_signed_8x8x8,8,8,8,4,4,4,349,512,1.467,16,9.17
int8_extremes_4x4x4,4,4,4,4,4,4,61,64,1.049,16,6.56
edge_tiles_9x9x9,9,9,9,4,4,4,1027,729,0.710,16,4.44
